Year,Quarter,QTM,Expiration,Valuation,Index,Strike,Price
1995,1,12,1995-03-31,1992-03-31,402.79,402.79,145.69821341802657
1995,1,11,1995-03-31,1992-06-30,398.63,402.79,23.584108507525222
1995,1,10,1995-03-31,1992-09-30,396.87,402.79,1.2209498424574083
1995,1,9,1995-03-31,1992-12-31,385.72,402.79,17.058715651876987
1995,1,8,1995-03-31,1993-03-31,388.7,402.79,13.003176086321702
1995,1,7,1995-03-31,1993-06-30,387.77,402.79,11.76716522693381
1995,1,6,1995-03-31,1993-09-30,392.05,402.79,8.620426371810343
1995,1,5,1995-03-31,1993-12-31,391.06,402.79,9.058101176691673
1995,1,4,1995-03-31,1994-03-31,396.17,402.79,5.011923202477174
1995,1,3,1995-03-31,1994-06-30,402.26,402.79,1.740008064572538
1995,1,2,1995-03-31,1994-09-30,408.32,402.79,0.13248293306780395
1995,1,1,1995-03-31,1994-12-31,416.01,402.79,0
1995,1,0,1995-03-31,1995-03-31,424.78,402.79,0
1995,2,12,1995-06-30,1992-06-30,398.63,398.63,80.80649331654685
1995,2,11,1995-06-30,1992-09-30,396.87,398.63,8.906846811209023
1995,2,10,1995-06-30,1992-12-31,385.72,398.63,13.10222654326877
1995,2,9,1995-06-30,1993-03-31,388.7,398.63,10.80641334786455
1995,2,8,1995-06-30,1993-06-30,387.77,398.63,10.604589461008361
1995,2,7,1995-06-30,1993-09-30,392.05,398.63,8.093706382604305
1995,2,6,1995-06-30,1993-12-31,391.06,398.63,7.62483201235432
1995,2,5,1995-06-30,1994-03-31,396.17,398.63,3.3111553356346355
1995,2,4,1995-06-30,1994-06-30,402.26,398.63,1.1393147319917816
1995,2,3,1995-06-30,1994-09-30,408.32,398.63,0.09319877457589623
1995,2,2,1995-06-30,1994-12-31,416.01,398.63,0.0011660902683718998
1995,2,1,1995-06-30,1995-03-31,424.78,398.63,0
1995,2,0,1995-06-30,1995-06-30,433.62,398.63,0
1995,3,12,1995-09-30,1992-09-30,396.87,396.87,44.188232861467945
1995,3,11,1995-09-30,1992-12-31,385.72,396.87,14.02432562586798
1995,3,10,1995-09-30,1993-03-31,388.7,396.87,11.379049690989227
1995,3,9,1995-09-30,1993-06-30,387.77,396.87,10.881950235548066
1995,3,8,1995-09-30,1993-09-30,392.05,396.87,8.368540242876769
1995,3,7,1995-09-30,1993-12-31,391.06,396.87,7.516513444816547
1995,3,6,1995-09-30,1994-03-31,396.17,396.87,3.0831223750079095
1995,3,5,1995-09-30,1994-06-30,402.26,396.87,1.164107094918983
1995,3,4,1995-09-30,1994-09-30,408.32,396.87,0.2406494994120881
1995,3,3,1995-09-30,1994-12-31,416.01,396.87,0.010681241961538931
1995,3,2,1995-09-30,1995-03-31,424.78,396.87,0
1995,3,1,1995-09-30,1995-06-30,433.62,396.87,0
1995,3,0,1995-09-30,1995-09-30,442.54,396.87,0
1995,4,12,1995-12-31,1992-12-31,385.72,385.72,9.96443657434755
1995,4,11,1995-12-31,1993-03-31,388.7,385.72,8.425189081603202
1995,4,10,1995-12-31,1993-06-30,387.77,385.72,8.113590289221916
1995,4,9,1995-12-31,1993-09-30,392.05,385.72,5.070649657942743
1995,4,8,1995-12-31,1993-12-31,391.06,385.72,5.1000104858726445
1995,4,7,1995-12-31,1994-03-31,396.17,385.72,1.8071018535470995
1995,4,6,1995-12-31,1994-06-30,402.26,385.72,0.370136244401327
1995,4,5,1995-12-31,1994-09-30,408.32,385.72,0.013580692846057783
1995,4,4,1995-12-31,1994-12-31,416.01,385.72,0
1995,4,3,1995-12-31,1995-03-31,424.78,385.72,0
1995,4,2,1995-12-31,1995-06-30,433.62,385.72,0
1995,4,1,1995-12-31,1995-09-30,442.54,385.72,0
1995,4,0,1995-12-31,1995-12-31,447.35,385.72,0
1996,1,12,1996-03-31,1993-03-31,388.7,388.7,10.118963905448405
1996,1,11,1996-03-31,1993-06-30,387.77,388.7,8.938296099002097
1996,1,10,1996-03-31,1993-09-30,392.05,388.7,7.372761940206006
1996,1,9,1996-03-31,1993-12-31,391.06,388.7,6.184458552076445
1996,1,8,1996-03-31,1994-03-31,396.17,388.7,2.893099993699852
1996,1,7,1996-03-31,1994-06-30,402.26,388.7,0.7240276016079445
1996,1,6,1996-03-31,1994-09-30,408.32,388.7,0.09803285628643221
1996,1,5,1996-03-31,1994-12-31,416.01,388.7,0.019480052293933632
1996,1,4,1996-03-31,1995-03-31,424.78,388.7,0
1996,1,3,1996-03-31,1995-06-30,433.62,388.7,0
1996,1,2,1996-03-31,1995-09-30,442.54,388.7,0
1996,1,1,1996-03-31,1995-12-31,447.35,388.7,0
1996,1,0,1996-03-31,1996-03-31,458.09,388.7,0
1996,2,12,1996-06-30,1993-06-30,387.77,387.77,8.860659819184239
1996,2,11,1996-06-30,1993-09-30,392.05,387.77,7.45373826338716
1996,2,10,1996-06-30,1993-12-31,391.06,387.77,7.040241891613796
1996,2,9,1996-06-30,1994-03-31,396.17,387.77,2.814462436743253
1996,2,8,1996-06-30,1994-06-30,402.26,387.77,1.176549211861946
1996,2,7,1996-06-30,1994-09-30,408.32,387.77,0.27466771089082437
1996,2,6,1996-06-30,1994-12-31,416.01,387.77,0.01995312723435811
1996,2,5,1996-06-30,1995-03-31,424.78,387.77,0
1996,2,4,1996-06-30,1995-06-30,433.62,387.77,0
1996,2,3,1996-06-30,1995-09-30,442.54,387.77,0
1996,2,2,1996-06-30,1995-12-31,447.35,387.77,0
1996,2,1,1996-06-30,1996-03-31,458.09,387.77,0
1996,2,0,1996-06-30,1996-06-30,468.57,387.77,0
1996,3,12,1996-09-30,1993-09-30,392.05,392.05,9.064534815503652
1996,3,11,1996-09-30,1993-12-31,391.06,392.05,8.692582197052523
1996,3,10,1996-09-30,1994-03-31,396.17,392.05,4.818742053162384
1996,3,9,1996-09-30,1994-06-30,402.26,392.05,2.153100785424422
1996,3,8,1996-09-30,1994-09-30,408.32,392.05,0.6046501447828495
