Year,Quarter,QTM,Expiration,Valuation,Index,Strike,Price
1995,1,12,1995-03-31,1992-03-31,402.79,402.79,134.7910057847984
1995,1,11,1995-03-31,1992-06-30,398.63,402.79,17.85243340795067
1995,1,10,1995-03-31,1992-09-30,396.87,402.79,1.6409555374127924
1995,1,9,1995-03-31,1992-12-31,385.72,402.79,15.361362409807434
1995,1,8,1995-03-31,1993-03-31,388.7,402.79,13.140843246909512
1995,1,7,1995-03-31,1993-06-30,387.77,402.79,11.488349768883218
1995,1,6,1995-03-31,1993-09-30,392.05,402.79,8.750226804804036
1995,1,5,1995-03-31,1993-12-31,391.06,402.79,8.941603949236752
1995,1,4,1995-03-31,1994-03-31,396.17,402.79,4.590114907941355
1995,1,3,1995-03-31,1994-06-30,402.26,402.79,1.6019081408332638
1995,1,2,1995-03-31,1994-09-30,408.32,402.79,0.17003644556359396
1995,1,1,1995-03-31,1994-12-31,416.01,402.79,0
1995,1,0,1995-03-31,1995-03-31,424.78,402.79,0
1995,2,12,1995-06-30,1992-06-30,398.63,398.63,68.58308626774155
1995,2,11,1995-06-30,1992-09-30,396.87,398.63,8.094479385794527
1995,2,10,1995-06-30,1992-12-31,385.72,398.63,14.074303148602834
1995,2,9,1995-06-30,1993-03-31,388.7,398.63,12.100237682455159
1995,2,8,1995-06-30,1993-06-30,387.77,398.63,10.378658205866492
1995,2,7,1995-06-30,1993-09-30,392.05,398.63,7.809723012656391
1995,2,6,1995-06-30,1993-12-31,391.06,398.63,7.458327641821217
1995,2,5,1995-06-30,1994-03-31,396.17,398.63,3.456784167196996
1995,2,4,1995-06-30,1994-06-30,402.26,398.63,1.2077994331618593
1995,2,3,1995-06-30,1994-09-30,408.32,398.63,0.16118135196178532
1995,2,2,1995-06-30,1994-12-31,416.01,398.63,4.983489594568109e-4
1995,2,1,1995-06-30,1995-03-31,424.78,398.63,0
1995,2,0,1995-06-30,1995-06-30,433.62,398.63,0
1995,3,12,1995-09-30,1992-09-30,396.87,396.87,46.244215149615364
1995,3,11,1995-09-30,1992-12-31,385.72,396.87,13.423726160653294
1995,3,10,1995-09-30,1993-03-31,388.7,396.87,12.081219508314593
1995,3,9,1995-09-30,1993-06-30,387.77,396.87,10.184426251325558
1995,3,8,1995-09-30,1993-09-30,392.05,396.87,8.210428808366194
1995,3,7,1995-09-30,1993-12-31,391.06,396.87,7.854138275010397
1995,3,6,1995-09-30,1994-03-31,396.17,396.87,3.1368584178639836
1995,3,5,1995-09-30,1994-06-30,402.26,396.87,1.102029723482708
1995,3,4,1995-09-30,1994-09-30,408.32,396.87,0.20685320594343967
1995,3,3,1995-09-30,1994-12-31,416.01,396.87,9.291741899114927e-4
1995,3,2,1995-09-30,1995-03-31,424.78,396.87,0
1995,3,1,1995-09-30,1995-06-30,433.62,396.87,0
1995,3,0,1995-09-30,1995-09-30,442.54,396.87,0
1995,4,12,1995-12-31,1992-12-31,385.72,385.72,9.704188491437947
1995,4,11,1995-12-31,1993-03-31,388.7,385.72,8.157951013627894
1995,4,10,1995-12-31,1993-06-30,387.77,385.72,6.846194938738266
1995,4,9,1995-12-31,1993-09-30,392.05,385.72,4.952889130064333
1995,4,8,1995-12-31,1993-12-31,391.06,385.72,4.65647700871138
1995,4,7,1995-12-31,1994-03-31,396.17,385.72,1.7004872690708808
1995,4,6,1995-12-31,1994-06-30,402.26,385.72,0.35046463333310535
1995,4,5,1995-12-31,1994-09-30,408.32,385.72,0.041073952167075975
1995,4,4,1995-12-31,1994-12-31,416.01,385.72,0
1995,4,3,1995-12-31,1995-03-31,424.78,385.72,0
1995,4,2,1995-12-31,1995-06-30,433.62,385.72,0
1995,4,1,1995-12-31,1995-09-30,442.54,385.72,0
1995,4,0,1995-12-31,1995-12-31,447.35,385.72,0
1996,1,12,1996-03-31,1993-03-31,388.7,388.7,10.512961254514334
1996,1,11,1996-03-31,1993-06-30,387.77,388.7,8.55857467313717
1996,1,10,1996-03-31,1993-09-30,392.05,388.7,6.6293593377390705
1996,1,9,1996-03-31,1993-12-31,391.06,388.7,6.419870657860138
1996,1,8,1996-03-31,1994-03-31,396.17,388.7,2.8619065727922406
1996,1,7,1996-03-31,1994-06-30,402.26,388.7,0.9500113731031921
1996,1,6,1996-03-31,1994-09-30,408.32,388.7,0.1276575945453115
1996,1,5,1996-03-31,1994-12-31,416.01,388.7,0.009259090826824497
1996,1,4,1996-03-31,1995-03-31,424.78,388.7,0
1996,1,3,1996-03-31,1995-06-30,433.62,388.7,0
1996,1,2,1996-03-31,1995-09-30,442.54,388.7,0
1996,1,1,1996-03-31,1995-12-31,447.35,388.7,0
1996,1,0,1996-03-31,1996-03-31,458.09,388.7,0
1996,2,12,1996-06-30,1993-06-30,387.77,387.77,8.436567561207626
1996,2,11,1996-06-30,1993-09-30,392.05,387.77,7.1054222353663
1996,2,10,1996-06-30,1993-12-31,391.06,387.77,6.889969576472579
1996,2,9,1996-06-30,1994-03-31,396.17,387.77,3.1051386178768343
1996,2,8,1996-06-30,1994-06-30,402.26,387.77,1.3251342683912104
1996,2,7,1996-06-30,1994-09-30,408.32,387.77,0.29936851606258214
1996,2,6,1996-06-30,1994-12-31,416.01,387.77,0.024246281908783526
1996,2,5,1996-06-30,1995-03-31,424.78,387.77,0.002008943383374741
1996,2,4,1996-06-30,1995-06-30,433.62,387.77,0
1996,2,3,1996-06-30,1995-09-30,442.54,387.77,0
1996,2,2,1996-06-30,1995-12-31,447.35,387.77,0
1996,2,1,1996-06-30,1996-03-31,458.09,387.77,0
1996,2,0,1996-06-30,1996-06-30,468.57,387.77,0
1996,3,12,1996-09-30,1993-09-30,392.05,392.05,9.582720760432158
1996,3,11,1996-09-30,1993-12-31,391.06,392.05,9.047851376560125
1996,3,10,1996-09-30,1994-03-31,396.17,392.05,4.363261284207867
1996,3,9,1996-09-30,1994-06-30,402.26,392.05,2.094817170587098
1996,3,8,1996-09-30,1994-09-30,408.32,392.05,0.6900865503281068
1996,3,7,1996-09-30,1994-12-31,416.01,392.05,0.12081990512523749
1996,3,6,1996-09-30,1995-03-31,424.78,392.05,0.007885045160947828
1996,3,5,1996-09-30,1995-06-30,433.62,392.05,0
1996,3,4,1996-09-30,1995-09-30,442.54,392.05,0
1996,3,3,1996-09-30,1995-12-31,447.35,392.05,0
1996,3,2,1996-09-30,1996-03-31,458.09,392.05,0
1996,3,1,1996-09-30,1996-06-30,468.57,392.05,0
