Year,Quarter,QTM,Expiration,Valuation,Index,Strike,Price
1995,1,12,1995-03-31,1992-03-31,402.79,410.84580000000005,124.03511513958766
1995,1,11,1995-03-31,1992-06-30,398.63,410.84580000000005,20.109473194520174
1995,1,10,1995-03-31,1992-09-30,396.87,410.84580000000005,1.828919064409019
1995,1,9,1995-03-31,1992-12-31,385.72,410.84580000000005,20.315403912624486
1995,1,8,1995-03-31,1993-03-31,388.7,410.84580000000005,17.996229294025508
1995,1,7,1995-03-31,1993-06-30,387.77,410.84580000000005,17.197694083925516
1995,1,6,1995-03-31,1993-09-30,392.05,410.84580000000005,13.840903171446868
1995,1,5,1995-03-31,1993-12-31,391.06,410.84580000000005,14.154760900372871
1995,1,4,1995-03-31,1994-03-31,396.17,410.84580000000005,9.212588051728172
1995,1,3,1995-03-31,1994-06-30,402.26,410.84580000000005,5.01973791850801
1995,1,2,1995-03-31,1994-09-30,408.32,410.84580000000005,1.7691244448504688
1995,1,1,1995-03-31,1994-12-31,416.01,410.84580000000005,0.039229924434611985
1995,1,0,1995-03-31,1995-03-31,424.78,410.84580000000005,0
1995,2,12,1995-06-30,1992-06-30,398.63,406.6026,71.23212389196101
1995,2,11,1995-06-30,1992-09-30,396.87,406.6026,8.286226546709452
1995,2,10,1995-06-30,1992-12-31,385.72,406.6026,18.586850680279554
1995,2,9,1995-06-30,1993-03-31,388.7,406.6026,16.312115428984477
1995,2,8,1995-06-30,1993-06-30,387.77,406.6026,14.756484412664502
1995,2,7,1995-06-30,1993-09-30,392.05,406.6026,11.870709335901788
1995,2,6,1995-06-30,1993-12-31,391.06,406.6026,12.069298264803736
1995,2,5,1995-06-30,1994-03-31,396.17,406.6026,6.906909326874156
1995,2,4,1995-06-30,1994-06-30,402.26,406.6026,3.152747595780317
1995,2,3,1995-06-30,1994-09-30,408.32,406.6026,0.9270421450106485
1995,2,2,1995-06-30,1994-12-31,416.01,406.6026,0.035623080048901294
1995,2,1,1995-06-30,1995-03-31,424.78,406.6026,0
1995,2,0,1995-06-30,1995-06-30,433.62,406.6026,0
1995,3,12,1995-09-30,1992-09-30,396.87,404.80740000000003,44.007405504862135
1995,3,11,1995-09-30,1992-12-31,385.72,404.80740000000003,17.8256960761854
1995,3,10,1995-09-30,1993-03-31,388.7,404.80740000000003,15.928294126913352
1995,3,9,1995-09-30,1993-06-30,387.77,404.80740000000003,14.254403441169066
1995,3,8,1995-09-30,1993-09-30,392.05,404.80740000000003,11.77720441698459
1995,3,7,1995-09-30,1993-12-31,391.06,404.80740000000003,11.62274820566627
1995,3,6,1995-09-30,1994-03-31,396.17,404.80740000000003,5.835159342459466
1995,3,5,1995-09-30,1994-06-30,402.26,404.80740000000003,2.7027024680871095
1995,3,4,1995-09-30,1994-09-30,408.32,404.80740000000003,0.7248436299581237
1995,3,3,1995-09-30,1994-12-31,416.01,404.80740000000003,0.061166645525078056
1995,3,2,1995-09-30,1995-03-31,424.78,404.80740000000003,0
1995,3,1,1995-09-30,1995-06-30,433.62,404.80740000000003,0
1995,3,0,1995-09-30,1995-09-30,442.54,404.80740000000003,0
1995,4,12,1995-12-31,1992-12-31,385.72,393.43440000000004,12.953765335192177
1995,4,11,1995-12-31,1993-03-31,388.7,393.43440000000004,10.931273615085919
1995,4,10,1995-12-31,1993-06-30,387.77,393.43440000000004,9.693867786269047
1995,4,9,1995-12-31,1993-09-30,392.05,393.43440000000004,7.585404987266458
1995,4,8,1995-12-31,1993-12-31,391.06,393.43440000000004,7.641276968232857
1995,4,7,1995-12-31,1994-03-31,396.17,393.43440000000004,3.1474205643920956
1995,4,6,1995-12-31,1994-06-30,402.26,393.43440000000004,0.999085155055306
1995,4,5,1995-12-31,1994-09-30,408.32,393.43440000000004,0.17893139345574569
1995,4,4,1995-12-31,1994-12-31,416.01,393.43440000000004,0.006475778355929959
1995,4,3,1995-12-31,1995-03-31,424.78,393.43440000000004,0
1995,4,2,1995-12-31,1995-06-30,433.62,393.43440000000004,0
1995,4,1,1995-12-31,1995-09-30,442.54,393.43440000000004,0
1995,4,0,1995-12-31,1995-12-31,447.35,393.43440000000004,0
1996,1,12,1996-03-31,1993-03-31,388.7,396.474,13.359686382594061
1996,1,11,1996-03-31,1993-06-30,387.77,396.474,11.221931911958704
1996,1,10,1996-03-31,1993-09-30,392.05,396.474,9.491624881182938
1996,1,9,1996-03-31,1993-12-31,391.06,396.474,9.3331379261319
1996,1,8,1996-03-31,1994-03-31,396.17,396.474,4.481746763044669
1996,1,7,1996-03-31,1994-06-30,402.26,396.474,1.8575049659021126
1996,1,6,1996-03-31,1994-09-30,408.32,396.474,0.3480127242533022
1996,1,5,1996-03-31,1994-12-31,416.01,396.474,0.05989526801499934
1996,1,4,1996-03-31,1995-03-31,424.78,396.474,0.003451756537986818
1996,1,3,1996-03-31,1995-06-30,433.62,396.474,0
1996,1,2,1996-03-31,1995-09-30,442.54,396.474,0
1996,1,1,1996-03-31,1995-12-31,447.35,396.474,0
1996,1,0,1996-03-31,1996-03-31,458.09,396.474,0
1996,2,12,1996-06-30,1993-06-30,387.77,395.5254,11.94784378853742
1996,2,11,1996-06-30,1993-09-30,392.05,395.5254,9.764895011446953
1996,2,10,1996-06-30,1993-12-31,391.06,395.5254,9.841103948858807
1996,2,9,1996-06-30,1994-03-31,396.17,395.5254,4.995363163043811
1996,2,8,1996-06-30,1994-06-30,402.26,395.5254,2.081291321478214
1996,2,7,1996-06-30,1994-09-30,408.32,395.5254,0.6592382529821633
1996,2,6,1996-06-30,1994-12-31,416.01,395.5254,0.060625323109370494
1996,2,5,1996-06-30,1995-03-31,424.78,395.5254,0.006677865607873266
1996,2,4,1996-06-30,1995-06-30,433.62,395.5254,0
1996,2,3,1996-06-30,1995-09-30,442.54,395.5254,0
1996,2,2,1996-06-30,1995-12-31,447.35,395.5254,0
1996,2,1,1996-06-30,1996-03-31,458.09,395.5254,0
1996,2,0,1996-06-30,1996-06-30,468.57,395.5254,0
1996,3,12,1996-09-30,1993-09-30,392.05,399.891,12.0963527113603
1996,3,11,1996-09-30,1993-12-31,391.06,399.891,12.44005204807271
1996,3,10,1996-09-30,1994-03-31,396.17,399.891,6.648128099486907
1996,3,9,1996-09-30,1994-06-30,402.26,399.891,3.255836884437344
1996,3,8,1996-09-30,1994-09-30,408.32,399.891,1.3100872184154075
1996,3,7,1996-09-30,1994-12-31,416.01,399.891,0.3271428787617087
1996,3,6,1996-09-30,1995-03-31,424.78,399.891,0.03469959953191743
1996,3,5,1996-09-30,1995-06-30,433.62,399.891,0.0011888009765802336
1996,3,4,1996-09-30,1995-09-30,442.54,399.891,0
1996,3,3,1996-09-30,1995-12-31,447.35,399.891,0
1996,3,2,1996-09-30,1996-03-31,458.09,399.891,0
1996,3,1,1996-09-30,1996-06-30,468.57,399.891,0
1996,3,0,1996-09-30,1996-09-30,480.89,399.891,0
1996,4,12,1996-12-31,1993-12-31,391.06,398.88120000000004,12.357309946149378
1996,4,11,1996-12-31,1994-03-31,396.17,398.88120000000004,6.797550802057655
1996,4,10,1996-12-31,1994-06-30,402.26,398.88120000000004,3.529239730286429
1996,4,9,1996-12-31,1994-09-30,408.32,398.88120000000004,1.3990071221648217
1996,4,8,1996-12-31,1994-12-31,416.01,398.88120000000004,0.44858068325264394
1996,4,7,1996-12-31,1995-03-31,424.78,398.88120000000004,0.09439912490601542
1996,4,6,1996-12-31,1995-06-30,433.62,398.88120000000004,0.002243697618189796
1996,4,5,1996-12-31,1995-09-30,442.54,398.88120000000004,0
1996,4,4,1996-12-31,1995-12-31,447.35,398.88120000000004,0
1996,4,3,1996-12-31,1996-03-31,458.09,398.88120000000004,0
1996,4,2,1996-12-31,1996-06-30,468.57,398.88120000000004,0
1996,4,1,1996-12-31,1996-09-30,480.89,398.88120000000004,0
1996,4,0,1996-12-31,1996-12-31,493.43,398.88120000000004,0
1997,1,12,1997-03-31,1994-03-31,396.17,404.09340000000003,8.480276050002798
1997,1,11,1997-03-31,1994-06-30,402.26,404.09340000000003,4.722295395652576
1997,1,10,1997-03-31,1994-09-30,408.32,404.09340000000003,2.2634236895456836
1997,1,9,1997-03-31,1994-12-31,416.01,404.09340000000003,0.7198051530427015
1997,1,8,1997-03-31,1995-03-31,424.78,404.09340000000003,0.2923497478083965
1997,1,7,1997-03-31,1995-06-30,433.62,404.09340000000003,0.04398140971056715
1997,1,6,1997-03-31,1995-09-30,442.54,404.09340000000003,4.342427216440893e-4
1997,1,5,1997-03-31,1995-12-31,447.35,404.09340000000003,0
1997,1,4,1997-03-31,1996-03-31,458.09,404.09340000000003,0
1997,1,3,1997-03-31,1996-06-30,468.57,404.09340000000003,0
1997,1,2,1997-03-31,1996-09-30,480.89,404.09340000000003,0
1997,1,1,1997-03-31,1996-12-31,493.43,404.09340000000003,0
1997,1,0,1997-03-31,1997-03-31,504.96,404.09340000000003,0
1997,2,12,1997-06-30,1994-06-30,402.26,410.3052,6.495200391252478
1997,2,11,1997-06-30,1994-09-30,408.32,410.3052,3.46954349547237
1997,2,10,1997-06-30,1994-12-31,416.01,410.3052,1.3542334513932854
1997,2,9,1997-06-30,1995-03-31,424.78,410.3052,0.60028801269664
1997,2,8,1997-06-30,1995-06-30,433.62,410.3052,0.22522349156373542
1997,2,7,1997-06-30,1995-09-30,442.54,410.3052,0.06387563771820169
1997,2,6,1997-06-30,1995-12-31,447.35,410.3052,0.004126851606807205
1997,2,5,1997-06-30,1996-03-31,458.09,410.3052,0
