port_key,Expiration,basis_pval
1,2009-09-30,0.6242957602415112
1,2009-12-31,0.8816651692311426
1,2010-03-31,0.35888636036079136
1,2010-06-30,1.6567007867261357e-4
1,2010-09-30,1.1932073645820176e-6
1,2010-12-31,2.5574063470436918e-6
1,2011-03-31,2.072980837938636e-4
1,2011-06-30,2.924987183340501e-4
1,2011-09-30,6.318638738677645e-4
2,2009-09-30,0.6079810005435622
2,2009-12-31,0.8631717487448868
2,2010-03-31,0.34226190078014995
2,2010-06-30,1.667749261843303e-4
2,2010-09-30,1.7080671948225596e-6
2,2010-12-31,2.900373844264216e-6
2,2011-03-31,1.69142713652654e-4
2,2011-06-30,2.441087079264617e-4
2,2011-09-30,5.718907801171806e-4
3,2009-09-30,0.5919494229567528
3,2009-12-31,0.8448836665911756
3,2010-03-31,0.32630828289107816
3,2010-06-30,1.6952655238552364e-4
3,2010-09-30,2.501259658856697e-6
3,2010-12-31,3.3824714140738813e-6
3,2011-03-31,1.3755191384344365e-4
3,2011-06-30,2.0342891452149257e-4
3,2011-09-30,5.191049645574782e-4
4,2009-09-30,0.5762111519132396
4,2009-12-31,0.8268206826718472
4,2010-03-31,0.3110198484474629
4,2010-06-30,1.7403539932517726e-4
4,2010-09-30,3.728502753700783e-6
4,2010-12-31,4.055336338995591e-6
4,2011-03-31,1.116149580194212e-4
4,2011-06-30,1.6945363932159042e-4
4,2011-09-30,4.729363249911759e-4
5,2009-09-30,0.5607752055832115
5,2009-12-31,0.8090012832498709
5,2010-03-31,0.29638843990464964
5,2010-06-30,1.8045320560961767e-4
5,2010-09-30,5.63139332088698e-6
5,2010-12-31,4.9944906912003195e-6
5,2011-03-31,9.049768028259706e-5
5,2011-06-30,1.4126209130694474e-4
5,2011-09-30,4.328508844860802e-4
6,2009-09-30,0.5456494964737546
6,2009-12-31,0.7914426179361794
6,2010-03-31,0.28240363689743575
6,2010-06-30,1.8897883713845515e-4
6,2010-09-30,8.58146592781583e-6
6,2010-12-31,6.310612327856361e-6
6,2011-03-31,7.34475376269692e-5
6,2011-06-30,1.1802171574182136e-4
6,2011-09-30,3.983565196504741e-4
7,2009-09-30,0.5308408400042688
7,2009-12-31,0.7741604515921581
7,2010-03-31,0.2690529990521967
7,2010-06-30,1.9986531371799537e-4
7,2010-09-30,1.3144067633927884e-5
7,2010-12-31,8.166233350801919e-6
7,2011-03-31,5.979616550706159e-5
7,2011-06-30,9.89893901525752e-5
7,2011-09-30,3.6900833053373557e-4
8,2009-09-30,0.516354970540297
8,2009-12-31,0.7571691309679258
8,2010-03-31,0.25632231079518647
8,2010-06-30,2.1342819156164233e-4
8,2010-09-30,2.0169105810248878e-5
8,2010-12-31,1.0800366573912716e-5
8,2011-03-31,4.8959533429953905e-5
8,2011-06-30,8.35106478068139e-5
8,2011-09-30,3.444137579878611e-4
9,2009-09-30,0.502196564299009
9,2009-12-31,0.7404815656564401
9,2010-03-31,0.2441958242155722
9,2010-06-30,2.3005546306997213e-4
9,2010-09-30,3.0917205240050306e-5
9,2010-12-31,1.4564593625717885e-5
9,2011-03-31,4.0435956494025756e-5
9,2011-06-30,7.10171887380847e-5
9,2011-09-30,3.2423761689212186e-4
10,2009-09-30,0.4883692684859393
10,2009-12-31,0.7241092227298946
10,2010-03-31,0.23265649649513528
10,2010-06-30,2.5021913031306994e-4
10,2010-09-30,4.7231074380591024e-5
10,2010-12-31,1.9975515557983567e-5
10,2011-03-31,3.380235472284866e-5
10,2011-06-30,6.102302509588458e-5
10,2011-09-30,3.082072809183301e-4
11,2009-09-30,0.47487573598379074
11,2009-12-31,0.7080621342412214
11,2010-03-31,0.22168621890582263
11,2010-06-30,2.744885952430429e-4
11,2010-09-30,7.176261435929424e-5
