date_key,date_date,date_year,date_month,date_month_short,date_month_long,date_day,date_day_txt,date_quarter
19900101,1990-01-01,1990,1,Jan,January,1,Monday,Q1
19900102,1990-01-02,1990,1,Jan,January,2,Tuesday,Q1
19900103,1990-01-03,1990,1,Jan,January,3,Wednesday,Q1
19900104,1990-01-04,1990,1,Jan,January,4,Thursday,Q1
19900105,1990-01-05,1990,1,Jan,January,5,Friday,Q1
19900106,1990-01-06,1990,1,Jan,January,6,Saturday,Q1
19900107,1990-01-07,1990,1,Jan,January,7,Sunday,Q1
19900108,1990-01-08,1990,1,Jan,January,8,Monday,Q1
19900109,1990-01-09,1990,1,Jan,January,9,Tuesday,Q1
19900110,1990-01-10,1990,1,Jan,January,10,Wednesday,Q1
19900111,1990-01-11,1990,1,Jan,January,11,Thursday,Q1
19900112,1990-01-12,1990,1,Jan,January,12,Friday,Q1
19900113,1990-01-13,1990,1,Jan,January,13,Saturday,Q1
19900114,1990-01-14,1990,1,Jan,January,14,Sunday,Q1
19900115,1990-01-15,1990,1,Jan,January,15,Monday,Q1
19900116,1990-01-16,1990,1,Jan,January,16,Tuesday,Q1
19900117,1990-01-17,1990,1,Jan,January,17,Wednesday,Q1
19900118,1990-01-18,1990,1,Jan,January,18,Thursday,Q1
19900119,1990-01-19,1990,1,Jan,January,19,Friday,Q1
19900120,1990-01-20,1990,1,Jan,January,20,Saturday,Q1
19900121,1990-01-21,1990,1,Jan,January,21,Sunday,Q1
19900122,1990-01-22,1990,1,Jan,January,22,Monday,Q1
19900123,1990-01-23,1990,1,Jan,January,23,Tuesday,Q1
19900124,1990-01-24,1990,1,Jan,January,24,Wednesday,Q1
19900125,1990-01-25,1990,1,Jan,January,25,Thursday,Q1
19900126,1990-01-26,1990,1,Jan,January,26,Friday,Q1
19900127,1990-01-27,1990,1,Jan,January,27,Saturday,Q1
19900128,1990-01-28,1990,1,Jan,January,28,Sunday,Q1
19900129,1990-01-29,1990,1,Jan,January,29,Monday,Q1
