inst_key,inst_name,inst_country,inst_type,inst_category
1,ALMACAFE S.A.,COLOMBIA,PRIVADO,ALMACENES GENERALES DE DEPOSITO
2,ALMAVIVA S.A.,COLOMBIA,PRIVADO,ALMACENES GENERALES DE DEPOSITO
3,ALPOPULAR S.A.,COLOMBIA,PRIVADO,ALMACENES GENERALES DE DEPOSITO
4,BMC BOLSA MERCANTIL DE COLOMBIA S.A.,COLOMBIA,PRIVADO,BOLSAS AGROPECUARIAS
5,BOLSA DE VALORES DE COLOMBIA S.A.,COLOMBIA,PRIVADO,BOLSAS DE VALORES
6,CAMARA DE RIESGO CENTRAL DEE CONTRAPARTE,COLOMBIA,PRIVADO,CAMARA RIESGO CENTRAL DE CONTRAPARTE
7,ACCIONES Y VALORES S.A.  COMISIONISTAS DE BOLSA,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
8,ADCAP COLOMBIA S.A.COMISIONISTA DE BOLSA,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
9,ALIANZA VALORES COMISIONISTA DE BOLSA S.A.,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
10,BBVA VALORES COLOMBIA S.A. COMISIONISTA DE BOLSA - BBVA VALORES,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
11,BTG PACTUAL S.A. COMISIONISTA DE BOLSA,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
12,CASA DE BOLSA S.A. SOCIEDAD COMISIONISTA DE BOLSA,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
13,CITIVALORES S.A.  COMISIONISTA DE BOLSA,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
14,COMPANIA DE PROFESIONALES DE BOLSA S.A.,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
15,COMPASS GROUP S.A.COMISIONISTA DE BOLSA antes Promotora Bursatil de Colombia,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
16,CORREDORES DAVIVIENDA S.A.COMISIONISTA DE BOLSA,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
17,CREDICORP CAPITAL COLOMBIA S.A.,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
18,GLOBAL SECURITIES S.A. COMISIONISTA DE BOLSA,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
19,ITAU COMISIONISTA DE BOLSA COLOMBIA S.A.,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
20,LARRAIN VIAL COLOMBIA S.A.  COMISIONISTA DE BOLSA,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
21,SCOTIA SECURITIES (COLOMBIA) S.A. SOCIEDAD COMISIONISTA DE BOLSA,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
22,SERVIVALORES GNB SUDAMERIS S.A. COMISIONISTA DE BOLSA. antes SumaValores,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
23,SKANDIA VALORES S.A. SOCIEDAD COMISIONISTA DE BOLSA,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
24,UALET S.A. COMISIONISTA DE BOLSA,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
25,VALORES BANCOLOMBIA S.A. COMISIONISTA DE BOLSA,COLOMBIA,PRIVADO,COMISIONISTAS  DE BOLSA DE VALORES
26,COLTEFINANCIERA S.A.,COLOMBIA,PRIVADO,COMPANIAS DE FINANCIAMIENTO
27,COMPANIA DE FINANCIAMIENTO TUYA S.A,COLOMBIA,PRIVADO,COMPANIAS DE FINANCIAMIENTO
28,CREDIFAMILIA,COLOMBIA,PRIVADO,COMPANIAS DE FINANCIAMIENTO
29,DANN REGIONAL S.A.,COLOMBIA,PRIVADO,COMPANIAS DE FINANCIAMIENTO
30,FIN JURISCOOP SA CIA FINANCIAMIENTO,COLOMBIA,PRIVADO,COMPANIAS DE FINANCIAMIENTO
31,GIROS Y FINANZAS  S.A. C.F,COLOMBIA,PRIVADO,COMPANIAS DE FINANCIAMIENTO
