item_key,item_name,item_subaccount,item_account,item_group,item_class,item_sign,item_periodicity
1,Tasa Credito de Consumo,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
2,Monto Credito de Consumo,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
3,Cuenta Credito de Consumo,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
4,Tasa Microcredito,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
5,Monto Microcredito,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
6,Cuenta Microcredito,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
7,Tasa Credito Ordinario,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
8,Monto Credito Ordinario,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
9,Cuenta Credito Ordinario,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
10,Tasa Credito Preferencial,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
11,Monto Credito Preferencial,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
12,Cuenta Credito Preferencial,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
13,Tasa Credito de Tesoreria,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
14,Monto Credito de Tesoreria,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
15,Cuenta Credito de Tesoreria,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
16,Tasa Tarjetas de Credito,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
17,Monto Tarjetas de Credito,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
18,Cuenta Tarjetas de Credito,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
19,Sobregiros,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
20,Sobregiros,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
21,Sobregiros,,,Tasas y Desembolsos,Informacion por Sector,1,Monthly
100000,ACTIVO,0,0,0,1,1,Monthly
