region_key,region_division,region_city,region_msa
1,ANTIOQUIA,MEDELLIN,MEDELLIN
2,ANTIOQUIA,MEDELLIN,PALMITAS
3,ANTIOQUIA,MEDELLIN,SANTA ELENA
4,ANTIOQUIA,MEDELLIN,PEDREGAL ALTO
5,ANTIOQUIA,MEDELLIN,ALTAVISTA
6,ANTIOQUIA,MEDELLIN,AGUAS FRIAS
7,ANTIOQUIA,MEDELLIN,LA LOMA
8,ANTIOQUIA,MEDELLIN,SAN JOSE DEL MANZANILLO
9,ANTIOQUIA,MEDELLIN,BARRO BLANCO
10,ANTIOQUIA,MEDELLIN,EL CERRO
11,ANTIOQUIA,MEDELLIN,EL PATIO
12,ANTIOQUIA,MEDELLIN,EL PLACER
13,ANTIOQUIA,MEDELLIN,EL PLAN
14,ANTIOQUIA,MEDELLIN,EL TESORO
15,ANTIOQUIA,MEDELLIN,LA ALDEA
16,ANTIOQUIA,MEDELLIN,LA CUCHILLA
17,ANTIOQUIA,MEDELLIN,LA FLORIDA
18,ANTIOQUIA,MEDELLIN,LA PALMA
19,ANTIOQUIA,MEDELLIN,LAS PLAYAS
20,ANTIOQUIA,MEDELLIN,PIEDRA GORDA
21,ANTIOQUIA,MEDELLIN,POTRERITO
22,ANTIOQUIA,MEDELLIN,TRAVESIAS
23,ANTIOQUIA,MEDELLIN,URQUITA
24,ANTIOQUIA,MEDELLIN,BARRIOS DE JESUS
25,ANTIOQUIA,MEDELLIN,BOQUERON
26,ANTIOQUIA,MEDELLIN,CHACALTAYA
27,ANTIOQUIA,MEDELLIN,EL CORAZON
28,ANTIOQUIA,MEDELLIN,EL JARDIN
29,ANTIOQUIA,MEDELLIN,EL LLANO 1
30,ANTIOQUIA,MEDELLIN,EL LLANO 2
31,ANTIOQUIA,MEDELLIN,EL UVITO
32,ANTIOQUIA,MEDELLIN,LA AVANZADA
33,ANTIOQUIA,MEDELLIN,LA CRUZ
34,ANTIOQUIA,MEDELLIN,LA ESPERANZA
35,ANTIOQUIA,MEDELLIN,LA FRISOLA
36,ANTIOQUIA,MEDELLIN,LA GABRIELA
37,ANTIOQUIA,MEDELLIN,LA LADERA
38,ANTIOQUIA,MEDELLIN,LA VERDE
39,ANTIOQUIA,MEDELLIN,LA VOLCANA
40,ANTIOQUIA,MEDELLIN,LOS NARANJOS
41,ANTIOQUIA,MEDELLIN,LLANADITAS
42,ANTIOQUIA,MEDELLIN,MATASANO
43,ANTIOQUIA,MEDELLIN,MATASANO 1
44,ANTIOQUIA,MEDELLIN,MATASANO 2
45,ANTIOQUIA,MEDELLIN,MAZO
46,ANTIOQUIA,MEDELLIN,MAZO 1
47,ANTIOQUIA,MEDELLIN,MEDIA LUNA
48,ANTIOQUIA,MEDELLIN,MEDIA LUNA 1
