source_key,source_entity,source_name,source_find,source_url,source_ext,source_destfile,last_update
1,DatosGov,Informacion financiera con finde de supervision,https://www.datos.gov.co/Econom-a-y-Finanzas/Informaci-n-financiera-con-fines-de-supervisi-n-CU/nf5h-3jc8,https://www.datos.gov.co/api/views/nf5h-3jc8/rows.csv?accessType=DOWNLOAD&bom=true&format=true,csv,Model/Source/SourceFiles/DatosGov/EstadosFinancieros,2021-02-21
2,SuperFin,Tasas y desembolsos bancos,https://www.superfinanciera.gov.co/inicio/informes-y-cifras/cifras/establecimientos-de-credito/informacion-por-sector/bancos-60775,https://www.superfinanciera.gov.co/descargas?com=institucional&name=pubFile1013884&downloadname=desembol_bco.xls,xls,Model/Source/SourceFiles/SuperFin/DesembolsosBancos,2021-02-21
3,DANE,Indice de precios al consumidor,https://www.dane.gov.co/index.php/estadisticas-por-tema/precios-y-costos/indice-de-precios-al-consumidor-ipc/ipc-informacion-tecnica#variaciones,https://www.dane.gov.co/files/investigaciones/boletines/ipc/anexo_ipc_ene21.xlsx,xlsx,Model/Source/SourceFiles/DANE/IPC,2021-02-21
4,DANE,Indice de valoracion predial,https://www.dane.gov.co/index.php/estadisticas-por-tema/precios-y-costos/indice-de-valoracion-predial-ivp,https://www.dane.gov.co/files/investigaciones/boletines/ivp/variaciones_IVP20.xls,xls,Model/Source/SourceFiles/DANE/IVP,2021-02-21
5,DANE,Indice de costos de construccion de vivienda,https://www.dane.gov.co/index.php/estadisticas-por-tema/construccion/indice-de-costos-de-la-construccion-de-la-vivienda,https://www.dane.gov.co/files/investigaciones/boletines/iccv/anexos_iccv_ene21.xls,xls,Model/Source/SourceFiles/DANE/ICCV,2021-02-21
6,DANE,Cartera hipotecaria de vivienda,https://www.dane.gov.co/index.php/estadisticas-por-tema/construccion/cartera-hipotecaria-de-vivienda,https://www.dane.gov.co/files/investigaciones/boletines/cartera/anexos_cartera_IIItrim20.xls,xls,Model/Source/SourceFiles/DANE/CHV,2021-02-21
7,BM,Datos pais Colombia,https://datos.bancomundial.org/pais/colombia?view=chart,http://api.worldbank.org/v2/es/country/COL?downloadformat=excel,xls,Model/Source/SourceFiles/BM/COL,2021-02-21
8,BanRep,IPVN,https://www.banrep.gov.co/es/estadisticas/indice-precios-vivienda-nueva-ipvnbr,https://totoro.banrep.gov.co/analytics/saw.dll?Download&Format=excel2007&Extension=.xlsx&BypassCache=true&path=%2Fshared%2FSeries%20Estad%C3%ADsticas_T%2F1.%20Indice%20de%20precios%20de%20vivienda%20nueva%2F1.1%20IPVN_Serie_hist%C3%B3rica&lang=es&NQUser=publico&NQPassword=publico123&SyncOperation=1,xlsx,Model/Source/SourceFiles/BanRep/IPVN,2021-02-21
9,BanRep,IPVU YoY,https://www.banrep.gov.co/es/estadisticas/indice-precios-vivienda-usada-ipvu,"https://totoro.banrep.gov.co/analytics/saw.dll?Download&Format=excel2007&Extension=.xls&BypassCache=true&Path=%2fshared%2fSeries%20Estad%c3%adsticas_T%2f1.%20%c3%8dndice%20de%20precios%20de%20vivienda%20usada%20(IPVU)%20base%201990%20(disponible%20desde%201988)%2f1.1.%20Datos%20anuales%2f1.1.1.%20Serie%20anual%20nominal%20y%20real%20-%20Total,%20tres%20ciudades,%20VIS%20y%20no%20VIS%20-%20IQY&NQUser=publico&NQPassword=publico123&SyncOperation=1&lang=es",xlsx,Model/Source/SourceFiles/BanRep/IPVUY,2021-02-21
10,BanRep,IPVU QoQ,https://www.banrep.gov.co/es/estadisticas/indice-precios-vivienda-usada-ipvu,https://totoro.banrep.gov.co/analytics/saw.dll?Download&Format=excel2007&Extension=.xls&BypassCache=true&Path=%2fshared%2fSeries%20Estad%c3%adsticas_T%2f1.%20%c3%8dndice%20de%20precios%20de%20vivienda%20usada%20(IPVU)%20base%201990%20(disponible%20desde%201988)%2f1.2.%20Datos%20trimestrales%2f1.2.1%20Serie%20trimestral%20nominal%20y%20real%20-%20Total%20-%20IQY&NQUser=publico&NQPassword=publico123&SyncOperation=1&lang=es,xlsx,Model/Source/SourceFiles/BanRep/IPVUQ,2021-02-21
11,BanRep,Mercado Accionario,https://www.banrep.gov.co/es/estadisticas/mercado-accionario,https://totoro.banrep.gov.co/analytics/saw.dll?Download&Format=excel2007&Extension=.xlsx&BypassCache=true&path=%2Fshared%2FSeries%20Estad%C3%ADsticas_T%2F1.%20%C3%8Dndices%20de%20mercado%20burs%C3%A1til%20colombiano%2F1.1.%20IGBC%2C%20IBB%20e%20IBOMED%2F1.1.1.IMBC_COLCAP_IQY&lang=es&NQUser=publico&NQPassword=publico123&SyncOperation=1,xlsx,Model/Source/SourceFiles/BanRep/COLCAP,2021-02-21
12,BanRep,TES0 Pesos MoM,https://totoro.banrep.gov.co/analytics/saw.dll?Dashboard,https://totoro.banrep.gov.co/analytics/saw.dll?Download&Format=excel2007&Extension=.xls&BypassCache=true&lang=es&path=%2Fshared%2FSeries%20Estad%C3%ADsticas_T%2F1.%20Tasas%20TES%2F1.1%20Tasa%20cero%20cup%C3%B3n%2F1.1.2.3%20Tasa%20cero%20cup%C3%B3n%20pesos%20periodicidad%20mensual%20IQY,xlsx,Model/Source/SourceFiles/BanRep/TESPesos,2021-02-21
13,BanRep,TES0 UVR Mom,https://totoro.banrep.gov.co/analytics/saw.dll?Dashboard,https://totoro.banrep.gov.co/analytics/saw.dll?Download&Format=excel2007&Extension=.xls&BypassCache=true&lang=es&path=%2Fshared%2FSeries%20Estad%C3%ADsticas_T%2F1.%20Tasas%20TES%2F1.1%20Tasa%20cero%20cup%C3%B3n%2F1.1.1.3%20Tasa%20cero%20cup%C3%B3n%20UVR%20periodicidad%20mensual%20IQY,xlsx,Model/Source/SourceFiles/BanRep/TESUVR,2021-02-21
14,BanRep,Tasa de desempleo Nacional,https://totoro.banrep.gov.co/analytics/saw.dll?Dashboard,https://totoro.banrep.gov.co/analytics/saw.dll?Download&Format=excel2007&Extension=.xlsx&BypassCache=true&path=%2Fshared%2fSeries%20Estad%c3%adsticas_T%2F1.%20Empleo%20y%20desempleo%2F1.1%20Serie%20hist%C3%B3rica%2F1.1.1.EMP_Total%20nacional%20IQY&lang=es&SyncOperation=1,xlsx,Model/Source/SourceFiles/BanRep/Desempleo,2021-02-21
