type_from,type_to,inst_from,inst_to,inst_key
ALMACENES GENERALES DE DEPOSITO,ALMACENES GENERALES DE DEPOSITO,"ALMACAFE S,A,",ALMACAFE S.A.,1
ALMACENES GENERALES DE DEPOSITO,ALMACENES GENERALES DE DEPOSITO,ALMACAFE S.A.,ALMACAFE S.A.,1
ALMACENES GENERALES DE DEPOSITO,ALMACENES GENERALES DE DEPOSITO,"ALMAVIVA S,A,",ALMAVIVA S.A.,2
ALMACENES GENERALES DE DEPOSITO,ALMACENES GENERALES DE DEPOSITO,ALMAVIVA S.A.,ALMAVIVA S.A.,2
ALMACENES GENERALES DE DEPOSITO,ALMACENES GENERALES DE DEPOSITO,"ALPOPULAR S,A,",ALPOPULAR S.A.,3
ALMACENES GENERALES DE DEPOSITO,ALMACENES GENERALES DE DEPOSITO,ALPOPULAR S.A.,ALPOPULAR S.A.,3
BOLSAS AGROPECUARIAS,BOLSAS AGROPECUARIAS,BMC BOLSA MERCANTIL DE COLOMBIA S.A.,BMC BOLSA MERCANTIL DE COLOMBIA S.A.,4
BOLSAS DE VALORES,BOLSAS DE VALORES,BOLSA DE VALORES DE COLOMBIA S.A.,BOLSA DE VALORES DE COLOMBIA S.A.,5
CAMARA RIESGO CENTRAL D CONTRAPARTE,CAMARA RIESGO CENTRAL DE CONTRAPARTE,CAMARA DE RIESGO CENTRAL DE CONTRAP,CAMARA DE RIESGO CENTRAL DEE CONTRAPARTE,6
COMISIONISTAS  DE BOLSA DE VALORES,COMISIONISTAS  DE BOLSA DE VALORES,ACCIONES Y VALORES S.A.  COMISIONISTAS DE BOLSA,ACCIONES Y VALORES S.A.  COMISIONISTAS DE BOLSA,7
COMISIONISTAS  DE BOLSA DE VALORES,COMISIONISTAS  DE BOLSA DE VALORES,ADCAP COLOMBIA S.A.COMISIONISTA DE BOLSA,ADCAP COLOMBIA S.A.COMISIONISTA DE BOLSA,8
COMISIONISTAS  DE BOLSA DE VALORES,COMISIONISTAS  DE BOLSA DE VALORES,ALIANZA VALORES COMISIONISTA DE BOLSA S.A.,ALIANZA VALORES COMISIONISTA DE BOLSA S.A.,9
COMISIONISTAS  DE BOLSA DE VALORES,COMISIONISTAS  DE BOLSA DE VALORES,BBVA VALORES COLOMBIA S.A. COMISIONISTA DE BOLSA - BBVA VALORES,BBVA VALORES COLOMBIA S.A. COMISIONISTA DE BOLSA - BBVA VALORES,10
COMISIONISTAS  DE BOLSA DE VALORES,COMISIONISTAS  DE BOLSA DE VALORES,BTG PACTUAL S.A. COMISIONISTA DE BOLSA,BTG PACTUAL S.A. COMISIONISTA DE BOLSA,11
COMISIONISTAS  DE BOLSA DE VALORES,COMISIONISTAS  DE BOLSA DE VALORES,CASA DE BOLSA S.A. SOCIEDAD COMISIONISTA DE BOLSA,CASA DE BOLSA S.A. SOCIEDAD COMISIONISTA DE BOLSA,12
COMISIONISTAS  DE BOLSA DE VALORES,COMISIONISTAS  DE BOLSA DE VALORES,CITIVALORES S.A.  COMISIONISTA DE BOLSA,CITIVALORES S.A.  COMISIONISTA DE BOLSA,13
COMISIONISTAS  DE BOLSA DE VALORES,COMISIONISTAS  DE BOLSA DE VALORES,COMPANIA DE PROFESIONALES DE BOLSA S.A.,COMPANIA DE PROFESIONALES DE BOLSA S.A.,14
